Protein	H1	H2	H3	L1	L2	L3
Q9H2H8;H7BZ14;B8ZZ77;Q9H2H8-2	18645000	20167000	20063000	32345000	25123000	21053000
H7C0E5;H7BZM7;O75312	5359900	9643000	11273000	12215000	9501000	9164600
P18887;H7BZR0;F5H8D7;B4DEB2	104620000	118810000	98167000	188510000	232400000	226430000
Q15435-2;H7C003;Q15435;C9JD73;C9J177;B5MCY6;Q15435-4;B5MBZ8;Q15435-3	17606000	16479000	20911000	19994000	25339000	17681000
H7C0R7;Q9UHQ9	49481000	18834000	27506000	46676000	71756000	91326000
H7C0X5;Q9H3G5	5767900	7718900	0	7400700	6643800	6333800
H7C174;P08581;P08581-2	0	2950200	0	0	2004100	2140000
H7C1M5;Q9H147;H7C1J2	31727000	49674000	14064000	28376000	23234000	31671000
H7C1N2;O75128-3;O75128;O75128-7;O75128-2;O75128-6	33578000	44261000	31188000	49768000	46779000	52552000
Q99848;H7C2Q8	41343000	44340000	42188000	102320000	93185000	78215000
P46736-2;P46736-3;P46736;H9KVA9;P46736-4;P46736-5;C9J8X9	188180000	158210000	43995000	176510000	205400000	103730000
P28715;I3L0G8;Q9HD60;F8WDY3	4508500	2627300	5113600	4106500	5546000	7580100
I3L0N3;P46459;B4DFA2	49505000	52215000	57373000	77422000	61761000	61831000
I3L0U2;Q9Y6M0-3;Q9Y6M0-2;Q9Y6M0;I3L3C7	29352000	32095000	27086000	39027000	35370000	63381000
I3L1H5;Q9BZG8;Q9BZG8-3;I3L226;Q9BZG8-2;B3KQW7	15990000	10668000	14708000	15655000	20641000	20678000
I3L1R4;P35613-3;P35613-4;P35613-2;I3L4S8;P35613;I3NI00;I3L4L2;I3L192	199880000	249070000	258650000	325770000	321490000	538070000
Q96CP2;I3L1Y9;I3L4I0	105120000	96503000	53990000	157720000	136650000	135540000
I3L2C7;P57678;I3L4A4;I3L399;I3L4M4	106920000	111960000	96060000	184110000	189970000	166140000
Q9UPN4-3;I3L2J8;Q9UPN4-2;Q9UPN4	7810600	8579600	7099700	10597000	10786000	8763700
I3L416;P57737-2;P57737	24019000	38116000	18053000	48063000	30412000	30372000
I3L430;P30519;I3L159;I3L1F5	80444000	95564000	134750000	149700000	169580000	140740000
O00116;F5H632	28374000	20630000	14163000	46903000	49898000	34620000
O00139-2;O00139-1;E9PB70;O00139;O00139-4	141180000	139260000	113990000	192860000	169210000	218550000
O00148;Q8N5M0;B1Q2N1	4953200000	4739100000	5071400000	6.49e+09	7057200000	6796500000
O00151	25377000	32992000	21085000	44545000	45798000	51268000
O00154-2;O00154-3;O00154-6;O00154-4;O00154;B4DUX0;O00154-5	46568000	36705000	38533000	56556000	61934000	67492000
O00170;E9PPD7;E9PMH2	61071000	67285000	56930000	103320000	119290000	88247000
O00178	46440000	41589000	38443000	68704000	48568000	49106000
O00186	15782000	18849000	14240000	26426000	25603000	21627000
O00231	503680000	514230000	509770000	882910000	802060000	955360000
O00232;O00232-2	85815000	105330000	103580000	121440000	137030000	103660000
O00233;F5H182;G3V1Q6;F5H169;F5H5V4;F5GX23;F8W7V8;O00233-2	60386000	59621000	28418000	58506000	51120000	82089000
O00257;O00257-3	19312000	16281000	19970000	16718000	23237000	20910000
O00264;B7Z1L3	238350000	223930000	226120000	393950000	314160000	278080000
O00267-2;O00267;B4DJK4	314070000	307100000	243900000	473360000	503620000	472800000
O00268;Q5TBP5	54537000	63049000	44972000	74741000	86433000	70531000
O00273;O00273-2	127350000	224850000	110960000	102250000	162450000	174350000
O00299	1167700000	1266800000	1278100000	2348500000	2.478e+09	2498100000
O00410;O00410-3;H0Y8C6;O00410-2;B4E0R6	1215400000	1339700000	1268400000	1547400000	1785700000	1.848e+09
O00411	24947000	30496000	23355000	42152000	55685000	45307000
O00425	92097000	86530000	77147000	111350000	134360000	124370000
O00442;O00442-2	9666800	8801300	9995000	11380000	9735200	9470500
O00469;O00469-2;E7ETU9;B3KWS3	15945000	17013000	17032000	18220000	22093000	18318000
O00487	138340000	123420000	141660000	174830000	235870000	205790000
O00488;A9J4F5	7915600	9782100	0	10009000	8562100	11761000
O00505	75218000	105860000	73030000	161770000	116970000	133340000
O00534	3696700	1243600	3784100	3165600	4849900	7268500
O00562-2;O00562	0	0	0	0	0	1483300
O00567;Q5JXT2	1656600000	1853300000	1894800000	2418600000	2361200000	2581200000
O00571;O00571-2;B4DXX7;O15523;B4DLU5	2179200000	1874200000	2042200000	3.839e+09	3451700000	3428700000
O00625	109990000	119590000	135160000	181050000	158160000	173740000
O00629	223770000	286650000	324570000	434610000	507190000	408640000
O00762;E1P5N7;A6NP33	11254000	12296000	13753000	13799000	21571000	18216000
O00764;F2Z2Y4;O00764-3;F2Z3F8;O00764-2	259820000	276060000	272330000	320480000	441080000	366130000
O14497;O14497-2;O14497-3;H0Y488	96355000	101290000	100830000	134830000	148770000	165390000
O14617-4;O14617;O14617-5;O14617-3;E7EMM2;O14617-2;G5E988	79116000	74881000	73632000	106760000	124450000	115180000
O14618;E9PK03	7086100	9976400	5783700	9735400	7633000	6460900
O14647;O14647-2	37646000	39663000	26224000	41623000	57313000	47286000
O14657;H0Y7C8;F8WCG1	7882800	6764300	4618100	24845000	14189000	9258000
O14672;A8MY20	11775000	13035000	6250300	18321000	20891000	11881000
O14732-2;O14732	23665000	25465000	23605000	32625000	40528000	31187000
O14737;B4DE64	241650000	268340000	236520000	339050000	339290000	374090000
O14744;O14744-2;G3V5W5;B4DX49;A8MTP3;B4DV00	170590000	183900000	194690000	290910000	310610000	302920000
O14745;E7EV06	171910000	188950000	127120000	132430000	191440000	146690000
O14776;O14776-2;G3V220	520260000	399050000	472270000	631050000	858310000	746750000
O14787-2;Q4LE60;O14787;F5H8J7;E7EM99	3538800	3571800	4729900	4625300	6051600	4085900
O14818;O14818-2;Q5JXJ2;H0Y586;Q8TAA3-2;F5H3G5;Q8TAA3-5;Q8TAA3	486460000	470580000	581220000	734860000	873700000	784280000
O14828-2;O14828	33012000	16438000	30082000	53312000	42030000	28177000
O14874;H3BTL2;H3BS02;Q96G95;A8MY43	0	2346300	1963900	0	0	0
O14908	15444000	22546000	11896000	17523000	24552000	12994000
O14929-2;O14929	187930000	179390000	160500000	238110000	211580000	136690000
P19105;O14950;P24844	260150000	324530000	260960000	236480000	243150000	230660000
O14975;O14975-2;G3V1R7	20074000	27875000	23265000	45245000	40079000	47063000
O14980	1086400000	1021100000	1082600000	1191800000	1228600000	1280200000
O14981;B4E0W6;Q59HB6	38601000	33358000	44600000	61159000	62318000	56580000
O15020-2;O15020	245900000	240710000	181940000	388030000	343590000	306020000
O15027-2;O15027-4;O15027-3;O15027;O15027-5;A4QN19	48452000	61091000	45317000	67462000	65481000	59533000
O15031	6900000	6866300	11464000	8771200	10485000	10671000
O15042-2;O15042;E7ET15;O15042-3;C9JB80	714090000	620760000	643580000	1160800000	1085500000	1051400000
O15067;F5GWT9	399060000	404790000	316190000	429750000	516530000	505780000
O15078-2;O15078	0	50574000	51570000	0	0	0
O15084;O15084-4;O15084-1;B4DIW9;O15084-2	16875000	16351000	8046300	36015000	33227000	29769000
O15091-2;O15091;O15091-4	13723000	13126000	16717000	27228000	25095000	23788000
O15111	32331000	42570000	27952000	35898000	52169000	47115000
O15118;F5GZD4;B4DET3	0	14138000	12861000	14957000	21061000	0
O15126;O15126-2	56228000	73509000	44940000	56781000	68590000	56897000
O15143;F8WCG3	85112000	108400000	77701000	132720000	193360000	1.63e+08
O15144	80477000	86640000	51028000	99699000	141990000	124450000
O15145;B4DM63;C9JZD1	30877000	37415000	32799000	52687000	43691000	69229000
O15156	23811000	30680000	16911000	7846700	29354000	18341000
O15160;O15160-2;E7EQB9;H0Y723	455430000	420680000	409330000	610180000	516670000	539210000
O15173	0	0	33128000	0	68307000	0
O15212;A2AB88	175360000	163400000	129960000	339200000	333770000	326270000
O15230;Q5JTP4;E2QRK0	14573000	24198000	0	22572000	21870000	18251000
O15260;O15260-2;Q5T8U5;Q5T8U7;B7Z7A8;B7Z6A4	114790000	112420000	134080000	127530000	128090000	178440000
O15269	8531100	9131500	10391000	13095000	12400000	19840000
O15270;H0YJV2	12746000	13033000	12862000	11259000	12443000	16262000
O15294;O15294-3;O15294-2;O15294-4	55187000	57082000	44290000	63487000	70803000	62698000
O15305;H3BV55;H3BPH4;F5H0W0	19165000	17464000	8409000	20646000	31874000	29499000
O15355;F5H7G7;Q59GB2	227560000	184240000	227410000	221520000	239110000	303340000
O15357;O15357-2	11647000	11758000	6741800	13075000	15041000	17873000
O15372;E5RJT0	24844000	33144000	71861000	27276000	65740000	58933000
O15379;O15379-2;E7ESJ6	7352700	11924000	5692000	8550200	17523000	12190000
O15397;O15397-2	25221000	27652000	17516000	39471000	33144000	33759000
O15427	76940000	98069000	53936000	94624000	109040000	103240000
O15446;O15446-2	263530000	323380000	279810000	442450000	434160000	424850000
O15460-2;O15460	7801900	5283400	7465800	11958000	15832000	8268400
O15498;B4DR94	38614000	24160000	51822000	47216000	53858000	42796000
O43148;O43148-2	55803000	53384000	55407000	119390000	130600000	83414000
O43156	24535000	32209000	18944000	19149000	27803000	28909000
O43172-2;O43172	548110000	563190000	499650000	796550000	924200000	844050000
O43175;Q5SZU1;F5H634	529280000	630110000	685340000	1212700000	1156100000	1161100000
O43237;B4E2E0;B4DZP4	13350000	14521000	0	8693800	26119000	19813000
O43252	59773000	40344000	33527000	59056000	66508000	43908000
O43290;G3V1T2	316510000	324620000	287570000	528460000	559070000	547930000
O43324;C9JLK5;D6RBD7;C9J1V9;H0YAL7	232840000	197200000	328600000	278390000	386480000	282180000
O43379;O43379-4	4544600	8902500	6303800	4629100	11636000	7537800
O43390;O43390-2;Q2L7G6;E7ETM7	4560600000	4.689e+09	4961600000	8103600000	8224200000	8306200000
O43395;E7EVD1	272250000	319210000	304240000	451140000	434700000	435980000
O43396	61550000	74768000	89320000	89887000	67263000	103650000
O43414;O43414-3;B4DEX5;H0Y4B0;E9PDK8;O43414-2;C9JA75	9326000	7251400	0	14896000	8540000	16082000
O43422;B4DS64;O43422-2	0	4477800	0	2846500	3308300	3960300
O43447;C9JQD4;A6NNE7;H0YEL5	300780000	316810000	311260000	341780000	357340000	410400000
O43488;H3BLU7	114470000	126590000	104340000	189700000	186300000	173240000
O43592	179860000	165830000	191990000	325120000	315210000	289210000
O43615	117940000	121720000	136290000	223540000	170600000	170600000
O43681	201430000	200200000	207380000	266670000	290180000	257630000
O43684-2;O43684;B4DDM6	1.572e+09	1608900000	1580300000	1.95e+09	2011100000	2012200000
O43707;D6PXK4;E7EV83;F5GXS2	6747100000	5899700000	6935300000	8753300000	9445400000	1.0525e+10
O43760	10750000	9300900	11872000	23637000	14246000	21198000
O43765	66805000	44168000	58488000	78822000	88215000	71394000
O43776;B4DN60	346690000	296660000	310050000	425250000	430440000	429080000
O43809;H3BND3	1313600000	1523400000	1125200000	2763300000	2113700000	2019500000
O43813;E9PHS0	33118000	34437000	37172000	46961000	41613000	54761000
O43815-2;Q3B874;O43815	201820000	228680000	109950000	282970000	308680000	164820000
O43837;O43837-2	100410000	101510000	106420000	131820000	141540000	119790000
O43852;O43852-3;F5H4F5;F5H879;F5H3F1	238990000	263670000	261230000	369540000	487970000	489140000
O43865;O43865-2	100540000	146290000	66283000	1.3e+08	137220000	101910000
O43913;O43913-2;B4DXT8	150080000	171740000	141790000	240670000	194460000	222850000
O43929;B7Z3D0;F5H069	113460000	110920000	94116000	143210000	158650000	155840000
O43933;H7BZH3;Q96S70;E9PE75	7938400	10549000	0	0	0	0
O60216	89862000	83590000	86249000	111360000	126880000	115700000
O60231;Q5SQH5;B0V0F8;Q5JP46	62928000	50752000	38421000	85334000	78655000	66613000
O60244	36170000	38643000	30472000	53530000	42295000	46249000
O60271-4;O60271;H7BYB5;O60271-9;O60271-2;O60271-5;O60271-3;H7BY21;F5H7U6	35690000	27136000	31010000	49725000	61486000	59609000
O60287	526080000	511170000	552480000	762510000	724120000	752960000
O60293;O60293-2	42529000	43269000	41878000	69245000	73142000	61465000
O60306	179920000	170780000	137400000	220490000	265520000	235870000
O60313;O60313-2;E5KLJ6;E5KLJ5;E5KLK1;E5KLJ9	71808000	58578000	60133000	99152000	103970000	110240000
O60341;O60341-2;F6S0T5	219020000	224360000	211860000	322870000	339680000	304140000
O60343-2;O60343-3;O60343	8527500	11469000	5647700	11253000	13114000	9275000
O60437	185260000	198970000	1221800000	76496000	67830000	78752000
O60443;B3KT05;H7C147	25664000	29530000	23283000	43815000	53631000	40914000
O60488-2;O60488	19937000	21919000	15066000	59848000	61745000	50910000
O60493;O60493-2;O60493-4	34842000	35510000	43930000	65353000	61121000	67980000
O60563	128960000	86356000	65849000	168560000	222160000	178490000
O60566;O60566-3;O60566-2;C9JLW5	3806800	3719400	0	4867800	6782200	4618900
O60568	115770000	120090000	103430000	135790000	152330000	133600000
O60664-3;O60664	610350000	588810000	618920000	971700000	1030500000	1004900000
O60701;O60701-2;B4DN25	227630000	256190000	224350000	356910000	342100000	373700000
O60749;B4DEK4;D6RC15	60134000	71069000	41208000	61926000	81497000	64350000
O60763;F5H4X1;O60763-2;F5GYR8;F5GZ76;H0Y7C0	73206000	7.6e+07	72886000	99059000	124220000	97510000
O60828-5;O60828-4;O60828-2;O60828;H7C053	87405000	89052000	76009000	164050000	134140000	148280000
O60832;O60832-2;C9IYT0;H7C0M1	1412800000	1.336e+09	1549100000	2368800000	2343100000	2454800000
O60841	1422400000	1480400000	1.464e+09	2483800000	2351600000	2680100000
O60869-2;O60869	9193000	0	0	13352000	12992000	10262000
O60884	253930000	241020000	267510000	453330000	519290000	419960000
O60885;O60885-2;Q4G0X8	72148000	104470000	89182000	1.26e+08	146710000	122830000
O60888-3;O60888;O60888-2;C9IZG4	128940000	88392000	230550000	232110000	141900000	173640000
O60921;B4DFI9	5744200	5955500	4355200	7589800	15803000	12250000
O60934;F5H3R2	16845000	22933000	13151000	32799000	23023000	25348000
O75044;H0Y4C3;H0Y2P8;Q5VZB4	3517500	3515400	0	0	7129300	7421300
O75083;O75083-3;D6RD66	226070000	416210000	429480000	693230000	577480000	582890000
O75116;D6REE7;E9PF63;Q13464	9814900	10749000	11873000	14793000	13950000	13760000
O75131;E5RG68	51083000	63358000	45296000	63614000	96277000	73800000
O75150;F8W8Z4;O75150-4;H3BP71;O75150-3	18566000	14516000	5660700	18856000	16176000	27736000
O75153;C9J6D7;I3L2B0	155320000	161840000	122970000	200410000	213340000	207770000
O75165	52057000	55436000	33686000	44312000	44360000	35587000
O75182-2;O75182	0	4790900	4465300	35141000	14208000	9011200
O75208;H3BPY0;H3BNT2	14373000	15707000	10709000	45894000	20181000	24340000
O75223;B8ZZK2;B8ZZN4;H7BZK5;E7EU55	100190000	81260000	48860000	147190000	111740000	114430000
O75306;B7Z9L2	56325000	43311000	51122000	73963000	58166000	84110000
O75323;C9K068;C9IYJ3	24437000	22224000	25283000	41154000	50667000	31388000
O75340;Q2YDC2	3415400000	3021800000	3790200000	4567200000	4919200000	4020900000
O75351	15776000	19136000	12687000	17602000	20460000	18913000
O75362	3225000	3409100	0	2978900	4884300	4794400
O75367-2;O75367-3;O75367;B4DJC3	27768000	26079000	9233100	8721600	41072000	14423000
O75369-8;O75369-2;O75369-9;O75369;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4	1427400000	1399800000	1357500000	1893900000	2258200000	1985100000
O75376-2;O75376;E7EVK1	17800000	21695000	17624000	29742000	26027000	27759000
O75396	110590000	104830000	144500000	177920000	163140000	135900000
O75400;O75400-2;E9PHJ7;O75400-3;F8W9L2	1042500000	1057600000	1155700000	1744400000	1735100000	1637200000
O75436;A8MZ56;F5H4L7;G3V1N8	133130000	162870000	102510000	168290000	178480000	161700000
O75439;G3V0E4;B3KQ85;E7ERZ4	124430000	133260000	74869000	171390000	199370000	171500000
O75446	29170000	31249000	25942000	52063000	51932000	51781000
O75448;F5H5K2;F8W9R9;F5H0K1;O75448-2;F5H2D6	21164000	23932000	30858000	52431000	30797000	30523000
O75475;O75475-2	1620800000	1374900000	1609300000	2030400000	1955100000	1832200000
O75489	24920000	9400900	19183000	13159000	35602000	16705000
O75521-2;O75521;F1LLU7	43349000	52348000	36259000	102200000	1.01e+08	89800000
O75529	7848200	0	0	2650200	0	4636700
O75530-3;O75530;O75530-2;E9PJK2	26540000	28758000	17599000	28210000	36540000	33665000
O75533	1797800000	1858600000	2169300000	2841800000	2651400000	2964100000
O75534-2;O75534;E9PGZ0;G5E9Q2;E9PLT0	84983000	68217000	95521000	149480000	1.37e+08	139740000
O75569-3;O75569-2;O75569;F8WEG8;G5E9Q4;C9JMM3	3274500	1782000	2978400	7995200	2148800	2887500
O75607	2927600000	4325700000	2.781e+09	3482100000	3994400000	3298600000
O75616;O75616-2	9626400	8030500	11787000	13165000	18781000	11651000
O75643	7349600000	6999400000	8008800000	1.0888e+10	1.0214e+10	1.0953e+10
O75663;O75663-2	22538000	33587000	18982000	44239000	36060000	41462000
O75683	60942000	164090000	0	77438000	0	137960000
O75691	231700000	220540000	231180000	305210000	336230000	374690000
O75694;E9PF10;O75694-2;B4DLT2	917580000	790430000	878350000	1234900000	1176100000	1212500000
O75717;C9JW18;F8W7P7	27348000	32610000	21407000	23026000	30557000	38026000
O75794	84205000	35573000	36473000	51526000	46184000	84322000
O75818-2;O75818;F8WC38	50638000	46718000	37241000	76847000	60448000	56652000
O75821	55879000	38353000	48900000	79976000	91766000	100960000
O75822;F5H425;B4DUI3	77677000	103880000	91250000	182480000	157360000	211680000
O75828	5074900	5367900	4743100	5835600	7097400	6602900
O75832;B1AJY7;O75832-2;B1AJY5	6246900	5636300	12908000	18574000	15290000	22543000
O75844	11619000	7358300	9083700	21139000	13601000	13502000
O75874	208680000	157370000	193030000	260890000	287430000	303590000
O75934	379860000	432320000	413120000	619860000	876400000	720380000
O75937	114020000	139790000	109790000	191630000	233030000	200160000
O75940	23943000	40269000	24083000	31238000	26388000	40754000
O75947;O75947-2;F5H608	52042000	60046000	67456000	86333000	82222000	122750000
O75962-2;O75962-4;O75962;E7EWP2;E7EPJ7;O75962-5;F5H228	26719000	26391000	20694000	13051000	14879000	9699800
O75964;E9PN17	21021000	30367000	35537000	39307000	46870000	39198000
O75976;F5GZH6	10953000	18202000	18945000	24818000	36652000	70110000
O76003	600570000	546660000	638130000	801340000	829110000	992700000
O76021;I3L3U9;I3L3C4	232170000	291280000	345810000	331430000	383330000	387740000
O76031;Q9H072	21886000	36031000	20544000	47735000	40845000	37246000
O76094;G5E9Z8;H0YH39;D6RDY6	27761000	30022000	41329000	33396000	36142000	34267000
O94760	11539000	16085000	15277000	16642000	18491000	13386000
O94776;Q68DB1	368340000	316630000	305870000	427900000	427860000	492350000
O94822;H7BYG8	9018200	8370200	5957800	10802000	12199000	8442600
O94826;B4DZ87	18614000	21735000	22174000	21965000	22002000	25059000
O94830	2526800	3773800	2771300	3473200	3215300	3201700
O94855;O94855-2;E9PDM8;E9PC44	21043000	29719000	15427000	43034000	53741000	39182000
O94864-2;O94864	4536700	5058100	0	4395400	5528800	3969700
O94874-2;O94874;O94874-3	5403400	4983000	3444500	5286800	5529000	8548600
O94888	15221000	29071000	8717800	22600000	49327000	20492000
O94906-2;O94906	1691100000	1606900000	1504200000	2380900000	2211800000	2.298e+09
O94913;E9PKN0;E9PQ01	35373000	61998000	26868000	47845000	54210000	56826000
O94925-3;O94925	14455000	25510000	17807000	19570000	27592000	26637000
O94973;O94973-2;O94973-3;C9J1S3;E9PJJ7;E7ESQ4	71169000	68648000	60168000	82156000	82392000	76609000
O95059	6346700	6069400	8398100	4342400	5952700	5736500
O95071;E7EMW7	69316000	66245000	60568000	117710000	113620000	83581000
O95104;O95104-2;C9JLZ0	25664000	32616000	35500000	80510000	76116000	77317000
O95155-2;O95155;O95155-3	32943000	34855000	16546000	23563000	43384000	21737000
O95163;F5H2T0	91229000	93236000	80897000	106930000	140460000	136420000
O95197-3;B7Z4M1;B7Z4M0;O95197-5;O95197-4;F5H774;O95197-2;O95197;F5H617	224580000	216340000	245830000	634220000	441910000	449350000
O95202	37914000	30030000	26218000	52201000	44580000	48068000
O95239-2;O95239	5494100	8773700	6824300	4337200	13260000	5829100
O95336	311320000	294070000	345510000	268940000	340690000	242310000
O95347;O95347-2	102240000	91162000	87483000	119620000	117250000	120760000
O95361;B3KP96;H0Y626;O95361-2;I3L4M9;Q309B1;I3L2F3	16098000	24917000	19887000	22877000	45021000	25022000
O95373	836580000	752240000	856910000	1144800000	1058600000	1208300000
O95391	12711000	10861000	9535100	20992000	35282000	37268000
O95400	118660000	161340000	135820000	174350000	229200000	218190000
O95402	0	11379000	18345000	8605700	11229000	6396900
O95433;B4DUR9;H0YJG7;G3V438;H0YJU2	382940000	432440000	491530000	737040000	695610000	597560000
O95453-2;O95453;O95453-3;H3BRK1;B4DSB0	112550000	126150000	108070000	131380000	174040000	159740000
O95456-2;O95456;H7C4C0	61948000	74651000	68164000	138360000	111320000	130580000
O95470;H0Y3V8;H7BXL7	14988000	14073000	13364000	11180000	19690000	16403000
O95478	11541000	16968000	9864800	15679000	13628000	16362000
O95486	22472000	31267000	18666000	29075000	26172000	21968000
O95573	195580000	201700000	211480000	289140000	318310000	295100000
O95602;B9ZVN9	414240000	387990000	359100000	501980000	633140000	599750000
O95639;C9JEV9;O95639-3;O95639-2;B7Z7B0;H7C419	101050000	95053000	74238000	185140000	171500000	153270000
O95707;A8MYC1	12279000	9821400	12689000	17935000	13283000	14453000
O95714	23640000	7875100	51830000	16545000	73436000	10451000
O95747;C9JIG9	62899000	53351000	72762000	68469000	87914000	84102000
O95758-1;O95758-6;O95758;O95758-5;O95758-4;B1ALY6;O95758-2	75095000	61723000	84022000	119640000	110730000	137590000
O95777;F2Z2Y6;C9JIZ0;C9JNV3	95510000	127870000	112750000	190790000	180010000	181410000
O95782-2;O95782	279580000	249720000	285270000	403400000	484440000	419920000
O95801;Q5TA95	10341000	9452100	13278000	19091000	17725000	20418000
O95816;A2A296;B4DXE2	105430000	143120000	148930000	173650000	146090000	150580000
O95817;C9JFK9	53425000	39574000	30967000	102020000	93701000	88670000
O95831-3;O95831;Q1L6K4;O95831-4	193300000	1.93e+08	235740000	259490000	288720000	269250000
O95881	221930000	147840000	243150000	317210000	270190000	307480000
O95983-2;O95983	22915000	27337000	17256000	67038000	44707000	50754000
O96013-3;O96013-4;O96013;B4DE88;O96013-2;F5H5N9	16823000	14277000	0	23628000	22847000	20902000
O96019;O96019-2;H7C5S0	858650000	935080000	1169100000	1264200000	1230600000	1379500000
P00338;P00338-3;P00338-4;F5H308;E9PH51;P00338-5;P00338-2	1.8482e+10	1.6919e+10	1.7773e+10	2.3377e+10	2.3148e+10	2.5973e+10
P00350	7597700000	7949600000	8367800000	3867500000	3775300000	3986200000
P00363	1690200000	1656700000	1965900000	794360000	961640000	949280000
P00370	282450000	372520000	300120000	125530000	131710000	133650000
P00374;B4DM58;B4DDD2	48085000	42998000	46376000	83798000	87057000	77446000
P00387-2;P00387;P00387-3	61434000	73144000	63905000	85311000	85771000	97129000
P00390-2;P00390-3;P00390;P00390-5;P00390-4	490430000	445570000	365320000	702360000	831700000	764250000
P00393	484700000	475970000	372320000	156400000	148480000	1.7e+08
P00403	48470000	51929000	63057000	98790000	56279000	49972000
P00441;H7BYH4	65394000	136870000	156870000	297270000	270580000	232500000
P00448	6855400000	7639200000	7581700000	4357800000	4451100000	3272800000
P00452;P00452-2	1207700000	1.155e+09	1211100000	618190000	649840000	591720000
P00490	5827600000	5531300000	5790800000	2.668e+09	2327200000	2289500000
P00491;G3V5M2	675570000	605230000	654880000	1.027e+09	1066100000	957710000
P00492;H7BY78	212980000	175400000	211060000	345190000	387080000	327260000
P00505;E7ERW2	1373800000	1365800000	1362500000	1921900000	1966300000	2235800000
P00509	3597600000	3.823e+09	5075300000	1650300000	1772600000	1730300000
P00533;Q504U8;E9PFD7;P00533-4;P00533-3;P00533-2;H0Y3N3	13483000	16611000	12553000	16515000	18857000	18227000
P00550	2042500000	1919300000	2.169e+09	977650000	879380000	874330000
P00558;B7Z7A9;B4E1H9;B4DHM5;E7ERH5	5342700000	4.64e+09	5924300000	8.272e+09	7488200000	8747800000
P00561	72170000	96714000	63082000	39491000	30909000	30805000
P00562	11756000	12703000	12552000	3193700	4039500	3665000
P00568;Q5T9B7	135590000	169970000	76042000	90814000	132200000	120010000
P00579	895490000	808330000	1089800000	283390000	361880000	425450000
P00582	863900000	842700000	978090000	394980000	387240000	350950000
P00803	142590000	85751000	73236000	40394000	40365000	31731000
P00805	2242300000	2147100000	2179400000	1059400000	965680000	1035600000
P00811	4161300	8536800	0	2870800	3017800	2738100
P00864	2764600000	2894500000	3155400000	1090500000	1.173e+09	1125700000
P00887	29852000	28320000	9281800	4649300	6505100	7490000
P00895	8976300	9089700	5273600	1995500	2856800	2351200
P00926	29238000	34531000	25906000	21597000	14251000	15593000
P00934	254910000	2.1e+08	196070000	83442000	91749000	87911000
P00944	15345000	13051000	7246100	9880400	6202700	6575500
P00946	959600000	1024600000	978210000	450720000	455600000	419580000
P00954	880860000	931390000	745570000	404530000	411460000	250720000
P00956	4.465e+09	3860700000	3779800000	1688200000	1749900000	1644800000
P00957	3449600000	3207700000	3522200000	1532600000	1683700000	1527800000
P00959	729760000	718390000	756720000	343260000	294380000	285400000
P00960	881690000	1.066e+09	813600000	440620000	495320000	437280000
P00961	4508100000	4555300000	4580900000	1898900000	1658700000	1.685e+09
P00962	1.88e+09	1766200000	1577900000	661660000	684250000	617320000
P00966;Q5T6L6	2703900000	2651300000	2666800000	4276600000	3791600000	4112200000
P00968	441960000	492790000	415040000	211930000	237690000	199020000
P01891;P10316;H3BM09;A9R9N8;F8VU18;P01892;H3BM16;P30453;P16190;A9R9N7;P30457;P30459;P16189	213440000	287120000	290660000	216150000	362560000	367280000
P02358	2436500000	2998100000	4.273e+09	1063500000	1549600000	1471100000
P02359	1.2649e+10	1.6912e+10	1.3986e+10	6627100000	6428200000	6412600000
P02413	6486300000	7405500000	8640400000	3.267e+09	3337900000	2937400000
P02545;P02545-3;Q6UYC3;D6RAQ3;E7EUI9;Q5TCJ4	1.1977e+10	1.1401e+10	1.1608e+10	1.5013e+10	1.6216e+10	1.4955e+10
P02786;G3V0E5;F5H6B1	1400400000	1304100000	1753300000	2712300000	2319100000	2272800000
P02792;F5H1X1	209580000	116770000	147480000	203750000	213810000	209680000
P02794;G3V192;G3V1D1	741870000	671420000	823450000	866830000	1230300000	934030000
P02916	53149000	60798000	38032000	23606000	20724000	21416000
P02918	22277000	10906000	19848000	7019300	5771000	4684300
P02919-2;P02919	141490000	195450000	180940000	58447000	82130000	55377000
P02924	340950000	281440000	321090000	118650000	126950000	133480000
P02925	3.255e+10	3.1861e+10	3.6195e+10	1.5776e+10	1.4786e+10	1.5528e+10
P02930	2164400000	2508900000	2018600000	1083800000	1097900000	1033100000
P02931	1286500000	1.647e+09	1678300000	573590000	521770000	579650000
P02943	3538500000	3093300000	3830600000	1740400000	1705600000	1703100000
P03004	12749000	25290000	21494000	9769900	9106500	8002400
P03018	5344100	10008000	4380500	3376500	3105100	4084500
P03024	8661800	11002000	3981100	1048500	2035900	1618600
P03813	6458300	7267100	0	5497900	7883400	0
P03819	16720000	12286000	17804000	12507000	21077000	0
P03841	472480000	486460000	486320000	228380000	194140000	203930000
P04036	254360000	275960000	263250000	114780000	118530000	126400000
P04040	71092000	88407000	64906000	143400000	116970000	130720000
P04075;H3BQN4;H3BPS8	5981500000	6399200000	6564900000	1.1453e+10	1.0535e+10	1.0403e+10
P04079	2615200000	2961400000	2838300000	1289300000	1248500000	1371400000
P04080	762980000	699420000	904970000	1142200000	1289800000	1414700000
